0.00905114 0.00227211 0.0113233 255 254 127 64 -62
0.00883812 0.00228402 0.0111221 253 250 141 60 -59
0.00895002 0.00251863 0.0114686 253 250 141 60 -59
0.00892204 0.00223526 0.0111573 253 250 141 60 -59
0.00892828 0.00227361 0.0112019 252 253 125 61 -59
0.00874221 0.00230649 0.0110487 252 253 125 61 -59
0.00877335 0.00227582 0.0110492 255 253 129 63 -59
0.00907159 0.0022269 0.0112985 255 253 129 63 -59
0.00902166 0.00243542 0.0114571 255 253 129 63 -59
0.00897691 0.0022596 0.0112365 255 255 128 63 -62
0.00909096 0.00231664 0.0114076 255 255 128 63 -62
0.00891326 0.00226447 0.0111777 251 254 126 57 -59
0.00893813 0.00230539 0.0112435 251 254 126 57 -59
0.00887748 0.00224365 0.0111211 251 250 232 46 -61
0.00896393 0.0022418 0.0112057 251 250 232 46 -61
0.00895386 0.00222981 0.0111837 251 250 232 46 -61
0.00895203 0.00229025 0.0112423 250 251 128 62 -58
0.00896603 0.0022676 0.0112336 250 251 128 62 -58
0.00890588 0.00257442 0.0114803 255 255 128 62 -62
0.00900089 0.00228513 0.011286 255 255 128 62 -62
