0.00901578 0.00232764 0.0113434 255 255 129 63 -44
0.00895833 0.00241332 0.0113716 255 255 128 63 -44
0.00880718 0.00228653 0.0110937 255 255 128 63 -44
0.00897472 0.0022759 0.0112506 255 255 128 63 -44
0.008826 0.00228838 0.0111144 254 254 129 63 -44
0.00901726 0.00228257 0.0112998 254 254 129 63 -44
0.00888124 0.00232247 0.0112037 255 255 128 63 -45
0.00898582 0.00264968 0.0116355 255 255 128 63 -45
0.00905392 0.00279853 0.0118525 255 255 128 63 -44
0.00902915 0.00240382 0.011433 255 255 128 63 -44
0.00909223 0.00249129 0.0115835 255 255 128 63 -44
0.0089114 0.00227349 0.0111849 255 255 128 63 -45
0.00884345 0.00241809 0.0112615 255 255 128 63 -45
0.00903987 0.00233977 0.0113796 255 255 127 64 -45
0.0089444 0.00252572 0.0114701 255 255 127 64 -45
0.00902732 0.00224867 0.011276 255 255 127 64 -45
0.00892267 0.00224222 0.0111649 256 256 128 63 -45
0.00884704 0.00234902 0.0111961 256 256 128 63 -45
0.00906374 0.00239086 0.0114546 255 254 129 63 -44
0.00896407 0.00242574 0.0113898 255 254 129 63 -44
