diffusion (302,61) 1 => (302,60) 0
diffusion (187,149) 1 => (188,149) 0
diffusion (607,97) 1 => (606,97) 0
diffusion (945,112) 1 => (944,112) 0
diffusion (403,177) 1 => (402,177) 0
diffusion (466,8) 1 => (465,8) 0
diffusion (609,77) 1 => (610,77) 0
diffusion (302,60) 1 => (301,60) 0
diffusion (922,227) 1 => (923,227) 0
diffusion (634,180) 1 => (634,179) 0
diffusion (830,3) 1 => (829,3) 0
diffusion (944,112) 1 => (945,112) 0
diffusion (466,83) 1 => (465,83) 0
diffusion (929,230) 1 => (929,231) 0
diffusion (465,83) 1 => (465,82) 0
diffusion (465,8) 1 => (464,8) 0
diffusion (271,123) 1 => (271,124) 0
diffusion (523,26) 1 => (523,25) 0
diffusion (732,9) 1 => (732,8) 0
diffusion (536,202) 1 => (535,202) 0
diffusion (301,60) 1 => (300,60) 0
diffusion (18,20) 1 => (18,21) 0
diffusion (535,202) 1 => (535,201) 0
diffusion (54,240) 1 => (55,240) 0
diffusion (585,183) 1 => (584,183) 0
diffusion (18,21) 1 => (18,22) 0
diffusion (271,124) 1 => (272,124) 0
diffusion (660,72) 1 => (660,73) 0
diffusion (606,97) 1 => (607,97) 0
diffusion (732,8) 1 => (732,9) 0
diffusion (732,9) 1 => (732,10) 0
diffusion (847,228) 1 => (848,228) 0
diffusion (465,82) 1 => (465,83) 0
diffusion (944,99) 1 => (945,99) 0
diffusion (1019,218) 1 => (1018,218) 0
diffusion (523,25) 1 => (523,24) 0
diffusion (297,18) 1 => (297,19) 0
diffusion (402,177) 1 => (402,178) 0
deposition: (483,195) 0
diffusion (400,205) 1 => (400,204) 0
diffusion (610,77) 1 => (610,76) 0
diffusion (523,24) 1 => (524,24) 0
diffusion (195,79) 1 => (195,78) 0
diffusion (772,9) 1 => (772,8) 0
diffusion (772,8) 1 => (772,7) 0
diffusion (195,78) 1 => (196,78) 0
diffusion (11,45) 1 => (11,44) 0
diffusion (945,99) 1 => (945,98) 0
diffusion (488,250) 1 => (489,250) 0
diffusion (196,78) 1 => (196,77) 0
diffusion (464,8) 1 => (464,9) 0
diffusion (18,22) 1 => (18,23) 0
diffusion (483,195) 1 => (483,194) 0
diffusion (254,243) 1 => (254,242) 0
diffusion (829,3) 1 => (829,2) 0
diffusion (53,49) 1 => (52,49) 0
diffusion (413,139) 1 => (414,139) 0
diffusion (196,77) 1 => (195,77) 0
diffusion (1018,218) 1 => (1018,219) 0
diffusion (829,2) 1 => (830,2) 0
diffusion (55,240) 1 => (56,240) 0
diffusion (607,97) 1 => (608,97) 0
diffusion (414,139) 1 => (415,139) 0
diffusion (254,242) 1 => (253,242) 0
diffusion (276,198) 1 => (275,198) 0
diffusion (253,242) 1 => (253,243) 0
diffusion (272,124) 1 => (272,123) 0
diffusion (945,98) 1 => (945,97) 0
diffusion (300,60) 1 => (300,59) 0
diffusion (402,178) 1 => (402,177) 0
diffusion (848,228) 1 => (849,228) 0
diffusion (208,93) 1 => (207,93) 0
diffusion (52,49) 1 => (52,50) 0
diffusion (415,139) 1 => (414,139) 0
diffusion (1018,219) 1 => (1017,219) 0
diffusion (207,93) 1 => (207,92) 0
diffusion (483,194) 1 => (483,195) 0
diffusion (907,186) 1 => (907,185) 0
diffusion (18,23) 1 => (17,23) 0
diffusion (907,185) 1 => (908,185) 0
diffusion (400,204) 1 => (399,204) 0
diffusion (849,228) 1 => (849,227) 0
diffusion (634,179) 1 => (635,179) 0
diffusion (139,79) 1 => (140,79) 0
diffusion (188,149) 1 => (187,149) 0
diffusion (929,231) 1 => (929,232) 0
diffusion (272,123) 1 => (272,124) 0
diffusion (399,204) 1 => (400,204) 0
diffusion (56,240) 1 => (55,240) 0
deposition: (367,252) 0
diffusion (483,195) 1 => (484,195) 0
diffusion (484,195) 1 => (483,195) 0
diffusion (272,124) 1 => (272,123) 0
diffusion (400,204) 1 => (401,204) 0
diffusion (945,97) 1 => (945,96) 0
diffusion (297,19) 1 => (296,19) 0
diffusion (635,179) 1 => (635,180) 0
diffusion (923,227) 1 => (923,228) 0
diffusion (732,10) 1 => (733,10) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (300,59) 1 => (300,58) 0
diffusion (831,2) 1 => (831,3) 0
diffusion (296,19) 1 => (295,19) 0
diffusion (414,139) 1 => (413,139) 0
diffusion (413,139) 1 => (413,138) 0
diffusion (253,243) 1 => (254,243) 0
diffusion (584,183) 1 => (585,183) 0
