deposition: (413,136) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (734,6) 1 => (734,5) 0
diffusion (56,51) 1 => (56,52) 0
deposition: (263,115) 0
diffusion (20,17) 1 => (19,17) 0
diffusion (6,42) 1 => (6,43) 0
diffusion (925,228) 1 => (925,229) 0
diffusion (482,251) 1 => (483,251) 0
diffusion (907,185) 1 => (907,186) 0
diffusion (925,229) 1 => (925,230) 0
diffusion (276,191) 1 => (275,191) 0
diffusion (275,191) 1 => (274,191) 0
diffusion (413,139) 1 => (413,140) 0
diffusion (925,230) 1 => (924,230) 0
diffusion (734,5) 1 => (734,6) 0
diffusion (907,186) 1 => (908,186) 0
diffusion (263,115) 1 => (263,116) 0
diffusion (413,140) 1 => (412,140) 0
diffusion (274,191) 1 => (274,192) 0
diffusion (908,186) 1 => (908,187) 0
diffusion (924,230) 1 => (924,229) 0
diffusion (6,43) 1 => (6,44) 0
diffusion (263,116) 1 => (263,117) 0
diffusion (412,140) 1 => (412,139) 0
diffusion (274,192) 1 => (273,192) 0
diffusion (56,52) 1 => (56,53) 0
diffusion (924,229) 1 => (923,229) 0
diffusion (263,117) 1 => (263,116) 0
diffusion (831,2) 1 => (830,2) 0
diffusion (412,139) 1 => (412,140) 0
diffusion (263,116) 1 => (263,115) 0
diffusion (56,237) 1 => (55,237) 0
diffusion (463,85) 1 => (464,85) 0
diffusion (263,115) 1 => (264,115) 0
diffusion (6,44) 1 => (7,44) 0
diffusion (19,17) 1 => (18,17) 0
diffusion (483,251) 1 => (484,251) 0
diffusion (18,17) 1 => (18,18) 0
diffusion (273,192) 1 => (272,192) 0
diffusion (7,44) 1 => (8,44) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (412,140) 1 => (411,140) 0
diffusion (923,229) 1 => (924,229) 0
diffusion (734,6) 1 => (735,6) 0
deposition: (203,94) 0
deposition: (845,227) 0
diffusion (411,140) 1 => (410,140) 0
diffusion (55,237) 1 => (55,236) 0
diffusion (735,6) 1 => (736,6) 0
diffusion (924,229) 1 => (924,228) 0
diffusion (831,2) 1 => (830,2) 0
diffusion (924,228) 1 => (924,229) 0
diffusion (272,192) 1 => (272,191) 0
diffusion (830,2) 1 => (831,2) 0
diffusion (484,251) 1 => (484,252) 0
diffusion (924,229) 1 => (925,229) 0
diffusion (484,252) 1 => (485,252) 0
diffusion (1020,219) 1 => (1019,219) 0
diffusion (845,227) 1 => (845,226) 0
diffusion (845,226) 1 => (844,226) 0
diffusion (8,44) 1 => (7,44) 0
diffusion (925,229) 1 => (926,229) 0
diffusion (272,191) 1 => (272,192) 0
diffusion (55,236) 1 => (55,237) 0
diffusion (56,53) 1 => (55,53) 0
diffusion (831,2) 1 => (831,1) 0
diffusion (410,140) 1 => (410,139) 0
diffusion (55,237) 1 => (54,237) 0
diffusion (926,229) 1 => (925,229) 0
diffusion (203,94) 1 => (202,94) 0
diffusion (925,229) 1 => (924,229) 0
diffusion (831,1) 1 => (830,1) 0
diffusion (55,53) 1 => (54,53) 0
diffusion (908,187) 1 => (908,186) 0
diffusion (202,94) 1 => (201,94) 0
diffusion (272,192) 1 => (273,192) 0
diffusion (264,115) 1 => (265,115) 0
deposition: (198,74) 0
diffusion (1019,219) 1 => (1019,220) 0
diffusion (464,85) 1 => (464,84) 0
diffusion (7,44) 1 => (8,44) 0
diffusion (924,229) 1 => (924,230) 0
diffusion (273,192) 1 => (273,193) 0
diffusion (273,193) 1 => (274,193) 0
deposition: (337,208) 0
diffusion (924,230) 1 => (924,229) 0
diffusion (485,252) 1 => (485,251) 0
diffusion (274,193) 1 => (274,194) 0
diffusion (201,94) 1 => (201,95) 0
diffusion (18,18) 1 => (18,17) 0
diffusion (201,95) 1 => (201,94) 0
diffusion (410,139) 1 => (410,138) 0
diffusion (736,6) 1 => (736,5) 0
diffusion (1019,220) 1 => (1018,220) 0
diffusion (908,186) 1 => (909,186) 0
diffusion (1018,220) 1 => (1018,221) 0
diffusion (18,17) 1 => (17,17) 0
diffusion (265,115) 1 => (264,115) 0
diffusion (264,115) 1 => (264,116) 0
diffusion (410,138) 1 => (409,138) 0
diffusion (844,226) 1 => (844,225) 0
diffusion (844,225) 1 => (843,225) 0
diffusion (337,208) 1 => (337,207) 0
diffusion (464,84) 1 => (464,83) 0
diffusion (8,44) 1 => (9,44) 0
diffusion (274,194) 1 => (274,193) 0
diffusion (485,251) 1 => (485,252) 0
diffusion (54,237) 1 => (55,237) 0
diffusion (830,1) 1 => (829,1) 0
diffusion (485,252) 1 => (485,253) 0
diffusion (924,229) 1 => (924,228) 0
deposition: (587,182) 0
diffusion (924,228) 1 => (924,229) 0
diffusion (485,253) 1 => (486,253) 0
deposition: (407,179) 0
diffusion (587,182) 1 => (587,183) 0
diffusion (464,83) 1 => (463,83) 0
diffusion (407,179) 1 => (407,180) 0
diffusion (924,229) 1 => (925,229) 0
diffusion (9,44) 1 => (9,43) 0
diffusion (407,180) 1 => (407,181) 0
diffusion (829,1) 1 => (830,1) 0
diffusion (264,116) 1 => (265,116) 0
diffusion (198,74) 1 => (199,74) 0
diffusion (407,181) 1 => (407,180) 0
diffusion (265,116) 1 => (265,117) 0
diffusion (409,138) 1 => (409,137) 0
diffusion (201,94) 1 => (200,94) 0
diffusion (587,183) 1 => (587,184) 0
diffusion (9,43) 1 => (9,44) 0
diffusion (463,83) 1 => (464,83) 0
diffusion (265,117) 1 => (266,117) 0
diffusion (407,180) 1 => (407,181) 0
diffusion (909,186) 1 => (910,186) 0
diffusion (925,229) 1 => (924,229) 0
diffusion (464,83) 1 => (464,82) 0
diffusion (587,184) 1 => (587,185) 0
diffusion (924,229) 1 => (924,228) 0
diffusion (17,17) 1 => (17,16) 0
diffusion (54,53) 1 => (53,53) 0
diffusion (910,186) 1 => (910,187) 0
diffusion (199,74) 1 => (198,74) 0
diffusion (55,237) 1 => (55,238) 0
diffusion (17,16) 1 => (17,17) 0
diffusion (464,82) 1 => (464,83) 0
diffusion (1018,221) 1 => (1019,221) 0
diffusion (830,1) 1 => (830,0) 0
diffusion (53,53) 1 => (54,53) 0
diffusion (464,83) 1 => (464,84) 0
diffusion (200,94) 1 => (200,95) 0
diffusion (266,117) 1 => (267,117) 0
diffusion (55,238) 1 => (55,239) 0
diffusion (924,228) 1 => (923,228) 0
diffusion (267,117) 1 => (268,117) 0
diffusion (587,185) 1 => (588,185) 0
diffusion (268,117) 1 => (268,116) 0
diffusion (198,74) 1 => (198,73) 0
diffusion (588,185) 1 => (588,184) 0
deposition: (612,76) 0
diffusion (486,253) 1 => (485,253) 0
diffusion (464,84) 1 => (465,84) 0
diffusion (55,239) 1 => (56,239) 0
diffusion (588,184) 1 => (588,185) 0
diffusion (200,95) 1 => (200,96) 0
diffusion (17,17) 1 => (17,18) 0
diffusion (588,185) 1 => (587,185) 0
diffusion (200,96) 1 => (201,96) 0
diffusion (17,18) 1 => (16,18) 0
diffusion (465,84) 1 => (466,84) 0
diffusion (612,76) 1 => (611,76) 0
diffusion (198,73) 1 => (197,73) 0
diffusion (197,73) 1 => (196,73) 0
diffusion (274,193) 1 => (273,193) 0
diffusion (268,116) 1 => (269,116) 0
diffusion (910,187) 1 => (910,186) 0
diffusion (466,84) 1 => (467,84) 0
diffusion (1019,221) 1 => (1019,220) 0
diffusion (736,5) 1 => (736,6) 0
diffusion (830,0) 1 => (829,0) 0
diffusion (56,239) 1 => (57,239) 0
diffusion (269,116) 1 => (268,116) 0
diffusion (467,84) 1 => (467,83) 0
diffusion (54,53) 1 => (54,52) 0
diffusion (337,207) 1 => (337,208) 0
diffusion (843,225) 1 => (843,226) 0
diffusion (485,253) 1 => (486,253) 0
diffusion (1019,220) 1 => (1018,220) 0
deposition: (941,106) 0
diffusion (941,106) 1 => (941,105) 0
diffusion (337,208) 1 => (338,208) 0
diffusion (57,239) 1 => (57,240) 0
diffusion (407,181) 1 => (406,181) 0
diffusion (54,52) 1 => (54,53) 0
diffusion (843,226) 1 => (844,226) 0
diffusion (611,76) 1 => (610,76) 0
diffusion (467,83) 1 => (467,84) 0
diffusion (338,208) 1 => (338,209) 0
diffusion (844,226) 1 => (845,226) 0
diffusion (9,44) 1 => (9,45) 0
diffusion (54,53) 1 => (54,54) 0
diffusion (941,105) 1 => (942,105) 0
diffusion (273,193) 1 => (273,194) 0
diffusion (486,253) 1 => (486,254) 0
diffusion (409,137) 1 => (410,137) 0
diffusion (273,194) 1 => (272,194) 0
deposition: (293,17) 0
diffusion (57,240) 1 => (56,240) 0
diffusion (293,17) 1 => (292,17) 0
diffusion (292,17) 1 => (292,18) 0
diffusion (587,185) 1 => (587,184) 0
diffusion (56,240) 1 => (55,240) 0
diffusion (268,116) 1 => (269,116) 0
diffusion (9,45) 1 => (10,45) 0
diffusion (610,76) 1 => (609,76) 0
diffusion (486,254) 1 => (486,253) 0
diffusion (587,184) 1 => (587,183) 0
diffusion (55,240) 1 => (55,239) 0
diffusion (1018,220) 1 => (1017,220) 0
diffusion (910,186) 1 => (909,186) 0
diffusion (845,226) 1 => (845,225) 0
diffusion (1017,220) 1 => (1016,220) 0
diffusion (55,239) 1 => (56,239) 0
diffusion (942,105) 1 => (942,104) 0
diffusion (909,186) 1 => (908,186) 0
diffusion (942,104) 1 => (942,105) 0
diffusion (736,6) 1 => (735,6) 0
diffusion (923,228) 1 => (924,228) 0
diffusion (56,239) 1 => (56,240) 0
diffusion (486,253) 1 => (487,253) 0
diffusion (735,6) 1 => (735,5) 0
deposition: (661,73) 0
diffusion (338,209) 1 => (338,210) 0
diffusion (406,181) 1 => (405,181) 0
diffusion (54,54) 1 => (54,53) 0
diffusion (924,228) 1 => (925,228) 0
diffusion (908,186) 1 => (909,186) 0
diffusion (487,253) 1 => (488,253) 0
diffusion (292,18) 1 => (292,17) 0
diffusion (292,17) 1 => (293,17) 0
diffusion (201,96) 1 => (201,97) 0
diffusion (661,73) 1 => (661,74) 0
diffusion (925,228) 1 => (925,227) 0
diffusion (54,53) 1 => (53,53) 0
diffusion (56,240) 1 => (55,240) 0
diffusion (587,183) 1 => (587,182) 0
diffusion (735,5) 1 => (736,5) 0
diffusion (16,18) 1 => (15,18) 0
diffusion (15,18) 1 => (15,19) 0
diffusion (909,186) 1 => (909,185) 0
diffusion (587,182) 1 => (586,182) 0
diffusion (1016,220) 1 => (1016,219) 0
diffusion (269,116) 1 => (269,115) 0
diffusion (586,182) 1 => (586,181) 0
diffusion (1016,219) 1 => (1016,220) 0
diffusion (269,115) 1 => (268,115) 0
diffusion (410,137) 1 => (411,137) 0
diffusion (201,97) 1 => (201,98) 0
deposition: (399,209) 0
diffusion (845,225) 1 => (844,225) 0
diffusion (272,194) 1 => (273,194) 0
diffusion (844,225) 1 => (845,225) 0
diffusion (293,17) 1 => (293,16) 0
diffusion (293,16) 1 => (293,15) 0
diffusion (942,105) 1 => (942,106) 0
diffusion (942,106) 1 => (942,105) 0
diffusion (845,225) 1 => (846,225) 0
diffusion (586,181) 1 => (587,181) 0
diffusion (925,227) 1 => (925,228) 0
diffusion (201,98) 1 => (202,98) 0
diffusion (661,74) 1 => (661,73) 0
diffusion (405,181) 1 => (404,181) 0
diffusion (53,53) 1 => (54,53) 0
diffusion (54,53) 1 => (54,54) 0
diffusion (846,225) 1 => (846,226) 0
diffusion (609,76) 1 => (609,75) 0
deposition: (774,7) 0
diffusion (467,84) 1 => (468,84) 0
diffusion (829,0) 1 => (830,0) 0
diffusion (587,181) 1 => (588,181) 0
diffusion (293,15) 1 => (294,15) 0
diffusion (925,228) 1 => (924,228) 0
diffusion (588,181) 1 => (587,181) 0
deposition: (136,76) 0
diffusion (273,194) 1 => (273,195) 0
diffusion (846,226) 1 => (847,226) 0
diffusion (774,7) 1 => (774,8) 0
diffusion (830,0) 1 => (830,1) 0
diffusion (924,228) 1 => (924,227) 0
diffusion (54,54) 1 => (55,54) 0
diffusion (609,75) 1 => (610,75) 0
diffusion (196,73) 1 => (196,74) 0
diffusion (830,1) 1 => (830,0) 0
diffusion (196,74) 1 => (196,75) 0
diffusion (488,253) 1 => (487,253) 0
diffusion (411,137) 1 => (410,137) 0
diffusion (468,84) 1 => (468,85) 0
diffusion (942,105) 1 => (942,106) 0
diffusion (847,226) 1 => (846,226) 0
diffusion (15,19) 1 => (15,20) 0
diffusion (1016,220) 1 => (1016,221) 0
diffusion (924,227) 1 => (924,226) 0
diffusion (10,45) 1 => (9,45) 0
diffusion (909,185) 1 => (910,185) 0
diffusion (410,137) 1 => (409,137) 0
diffusion (910,185) 1 => (909,185) 0
diffusion (136,76) 1 => (135,76) 0
diffusion (55,54) 1 => (56,54) 0
diffusion (268,115) 1 => (268,116) 0
diffusion (661,73) 1 => (660,73) 0
diffusion (196,75) 1 => (196,76) 0
diffusion (273,195) 1 => (273,196) 0
diffusion (56,54) 1 => (56,53) 0
diffusion (409,137) 1 => (408,137) 0
diffusion (404,181) 1 => (405,181) 0
diffusion (408,137) 1 => (408,138) 0
diffusion (468,85) 1 => (468,84) 0
diffusion (846,226) 1 => (846,225) 0
diffusion (610,75) 1 => (610,76) 0
diffusion (135,76) 1 => (135,75) 0
diffusion (830,0) 1 => (831,0) 0
diffusion (909,185) 1 => (908,185) 0
diffusion (268,116) 1 => (269,116) 0
diffusion (202,98) 1 => (203,98) 0
diffusion (908,185) 1 => (907,185) 0
diffusion (736,5) 1 => (736,6) 0
diffusion (408,138) 1 => (408,139) 0
deposition: (186,149) 0
diffusion (907,185) 1 => (907,184) 0
diffusion (399,209) 1 => (400,209) 0
diffusion (907,184) 1 => (907,185) 0
diffusion (831,0) 1 => (832,0) 0
diffusion (408,139) 1 => (409,139) 0
diffusion (9,45) 1 => (10,45) 0
diffusion (196,76) 1 => (197,76) 0
diffusion (186,149) 1 => (186,148) 0
diffusion (10,45) 1 => (9,45) 0
diffusion (186,148) 1 => (186,147) 0
diffusion (338,210) 1 => (337,210) 0
diffusion (55,240) 1 => (55,239) 0
diffusion (409,139) 1 => (409,138) 0
diffusion (273,196) 1 => (273,197) 0
diffusion (610,76) 1 => (611,76) 0
diffusion (273,197) 1 => (272,197) 0
diffusion (487,253) 1 => (488,253) 0
diffusion (587,181) 1 => (587,182) 0
diffusion (135,75) 1 => (135,76) 0
deposition: (942,102) 0
diffusion (1016,221) 1 => (1016,222) 0
diffusion (135,76) 1 => (135,77) 0
diffusion (294,15) 1 => (294,16) 0
diffusion (272,197) 1 => (272,196) 0
diffusion (924,226) 1 => (924,225) 0
diffusion (203,98) 1 => (204,98) 0
diffusion (907,185) 1 => (907,186) 0
diffusion (337,210) 1 => (336,210) 0
diffusion (1016,222) 1 => (1016,221) 0
diffusion (197,76) 1 => (197,77) 0
diffusion (400,209) 1 => (399,209) 0
diffusion (832,0) 1 => (831,0) 0
diffusion (55,239) 1 => (54,239) 0
diffusion (409,138) 1 => (410,138) 0
diffusion (135,77) 1 => (135,78) 0
diffusion (269,116) 1 => (269,117) 0
diffusion (9,45) 1 => (9,44) 0
diffusion (56,53) 1 => (55,53) 0
diffusion (611,76) 1 => (610,76) 0
diffusion (336,210) 1 => (336,209) 0
diffusion (405,181) 1 => (405,180) 0
diffusion (410,138) 1 => (411,138) 0
diffusion (1016,221) 1 => (1016,220) 0
diffusion (405,180) 1 => (405,179) 0
diffusion (610,76) 1 => (611,76) 0
diffusion (924,225) 1 => (924,224) 0
diffusion (660,73) 1 => (659,73) 0
diffusion (468,84) 1 => (468,83) 0
deposition: (303,61) 0
diffusion (942,106) 1 => (941,106) 0
diffusion (303,61) 1 => (303,62) 0
diffusion (659,73) 1 => (659,72) 0
diffusion (15,20) 1 => (16,20) 0
diffusion (197,77) 1 => (198,77) 0
diffusion (9,44) 1 => (9,43) 0
diffusion (294,16) 1 => (294,17) 0
diffusion (55,53) 1 => (55,52) 0
diffusion (405,179) 1 => (405,178) 0
diffusion (54,239) 1 => (55,239) 0
diffusion (736,6) 1 => (736,7) 0
diffusion (846,225) 1 => (845,225) 0
diffusion (488,253) 1 => (488,252) 0
diffusion (611,76) 1 => (611,77) 0
diffusion (336,209) 1 => (336,210) 0
diffusion (942,102) 1 => (943,102) 0
diffusion (924,224) 1 => (925,224) 0
diffusion (135,78) 1 => (135,77) 0
diffusion (55,52) 1 => (55,53) 0
diffusion (204,98) 1 => (204,97) 0
diffusion (941,106) 1 => (942,106) 0
diffusion (845,225) 1 => (846,225) 0
diffusion (846,225) 1 => (846,226) 0
diffusion (611,77) 1 => (610,77) 0
diffusion (303,62) 1 => (303,63) 0
diffusion (135,77) 1 => (136,77) 0
diffusion (405,178) 1 => (404,178) 0
diffusion (468,83) 1 => (468,84) 0
diffusion (294,17) 1 => (294,18) 0
diffusion (294,18) 1 => (295,18) 0
diffusion (269,117) 1 => (270,117) 0
diffusion (846,226) 1 => (847,226) 0
diffusion (736,7) 1 => (735,7) 0
diffusion (404,178) 1 => (404,177) 0
diffusion (204,97) 1 => (204,98) 0
diffusion (198,77) 1 => (197,77) 0
diffusion (272,196) 1 => (272,195) 0
diffusion (295,18) 1 => (294,18) 0
diffusion (136,77) 1 => (137,77) 0
diffusion (186,147) 1 => (186,148) 0
